kinase,substrate
AAK1,SOX2
ABL2,CBL
ABL2,HLCS
ACVR1,DNAJB2
ACVR1,E2F3
ACVR1,ETS1
ACVR1,FGR
ACVR1,GADD45A
ACVR1,MCM5
ACVR1,MDM2
ACVR1,NFATC4
ACVR1,ORC1L
ACVR1,OTUD7B
ACVR1,RIPK3
ACVR1,RNF14
ACVR1,RPS6KA2
ACVR1,RXRG
ACVR1,SMAD3
ACVR1,TRIM24
ACVR1,WWP1
ACVR1,ZBTB44
ACVR1B,MAPK1
ACVR1B,MAPK8
ACVR1B,MDM4
ACVR1B,SMAD4
ACVR1B,UHMK1
ACVR2A,GNA12
ACVR2B,DDEFL1
ACVR2B,EGFR
ACVR2B,PRKCB1
ACVR2B,SRXN1
ACVR2B,TRIM26
ADRBK1,BAD
ADRBK1,CTTN
ADRBK1,EIF4B
ADRBK1,ID2
ADRBK1,PQBP1
ADRBK1,SNF8
ADRBK1,TP53
ADRBK1,ZNF396
AKT1,384D8-2
AKT1,ABI2
AKT1,AVEN
AKT1,BCL11A
AKT1,BMX
AKT1,BRD2
AKT1,BTBD12
AKT1,C19orf21
AKT1,C5orf16
AKT1,C7orf22
AKT1,CBL
AKT1,CCM2
AKT1,CD99L2
AKT1,CDK2AP1
AKT1,CDK9
AKT1,CENTB2
AKT1,CGI-48
AKT1,CHES1
AKT1,CHGB
AKT1,CSNK1G2
AKT1,CSRP3
AKT1,CTTN
AKT1,DAXX
AKT1,DNAJB2
AKT1,EG1
AKT1,ENC2
AKT1,ERAL1
AKT1,ETS1
AKT1,FGFR1OP
AKT1,FGR
AKT1,FIP1L1
AKT1,GADD45A
AKT1,GAS7
AKT1,GTF2B
AKT1,GTF2E1
AKT1,HCLS1
AKT1,HIRIP3
AKT1,HNRPK
AKT1,HRMT1L2
AKT1,HistoneAb
AKT1,ID2
AKT1,IOH12327
AKT1,IOH14198
AKT1,IOH21637
AKT1,IOH42148
AKT1,IOH43720
AKT1,KIAA0663
AKT1,LOC93349
AKT1,LUC7L2
AKT1,MAPK8
AKT1,MDFI
AKT1,MDM4
AKT1,MEF2C
AKT1,MLX
AKT1,MTA1
AKT1,NCL
AKT1,NCOA4
AKT1,NEUROD1
AKT1,NFATC3
AKT1,NOC2L
AKT1,NRIP2
AKT1,NUP133
AKT1,OTUD7B
AKT1,PCBP2
AKT1,PCBP3
AKT1,PHLDA2
AKT1,PINX1
AKT1,PKCD
AKT1,PLEKHA4
AKT1,POP7
AKT1,PPP1R13L
AKT1,PRKACA
AKT1,PRKCD
AKT1,RAGE
AKT1,RPS20
AKT1,RUNX1T1
AKT1,RXRA
AKT1,SFRS1
AKT1,SFRS12
AKT1,SMAD3
AKT1,SMPX
AKT1,SMYD2
AKT1,SNIP1
AKT1,SNRP70
AKT1,SOX9
AKT1,SPF45
AKT1,STAT6
AKT1,SYNJ2
AKT1,TCEAL6
AKT1,TEAD1
AKT1,THRA
AKT1,TRAT1
AKT1,TRIP10
AKT1,TSN
AKT1,WDR45L
AKT1,XPA
AKT1,ZHX1
AKT1,ZNF289
AKT1,ZRANB2
AKT1,ard
AKT3,FARS2
AKT3,GNA12
AKT3,PRKACA
ARAF,C21orf66
ARAF,CBL
ARAF,EGFR
ARAF,GMEB1
ARAF,HDAC7A
ARAF,IRF3
ARAF,KHDRBS1
ARAF,MBNL1
ARAF,MCM7
ARAF,MDM4
ARAF,MTA1
ARAF,PCBP2
ARAF,PCTK1
ARAF,RBM12
ARAF,SAFB2
ARAF,SETDB1
ARAF,SF3B1
ARAF,SFRS1
ARAF,SMAD4
ARAF,SNRPE
ARAF,SPAG7
ARAF,SUMO4
ARAF,YWHAH
ARAF,ZYX
AURKB,C11orf9
AURKB,C14orf106
AURKB,CAMKK1
AURKB,CBL
AURKB,CHEK2
AURKB,CNOT6
AURKB,CTTN
AURKB,DAPK2
AURKB,FEV
AURKB,GIT2
AURKB,HCLS1
AURKB,HSFX1
AURKB,MBNL3
AURKB,MDFI
AURKB,MDM4
AURKB,MTA1
AURKB,NOL7
AURKB,OTUD7B
AURKB,PER1
AURKB,PHB2
AURKB,PKNOX1
AURKB,PPP1R13L
AURKB,PRDM1
AURKB,PRKACA
AURKB,PSMC3
AURKB,RPA1
AURKB,SOX10
AURKB,XRCC1
AURKB,ZBED1
AURKB,ZIC4
AURKB,ZNF606
AURKB,ZYX
AURKC,C11orf9
AURKC,LZTS1
AURKC,PLAGL2
AURKC,SMPX
AXL,MTA1
BLK,BAX
BLK,KHDRBS1
BMP2K,SSX2
BMP2K,ZNF784
BMP2K,ZYX
BMPR1A,AIRE
BMPR1A,BMX
BMPR1A,CSRP3
BMPR1A,DDEFL1
BMPR1A,EIF2S1
BMPR1A,HCLS1
BMPR1A,HLCS
BMPR1A,NEUROD1
BMPR1A,PRKACB
BMPR1A,PRKCD
BMPR1A,RUVBL1
BMPR1A,SARS
BMPR1A,SRXN1
BMPR1A,ZAP70
BMPR1B,ABI2
BMPR1B,CAMKK1
BMPR1B,CRY1
BMPR1B,CSNK1G2
BMPR1B,CSRP3
BMPR1B,CTTN
BMPR1B,DDEFL1
BMPR1B,DNAJB2
BMPR1B,EIF4A3
BMPR1B,FGFR1OP
BMPR1B,GRK5
BMPR1B,HCLS1
BMPR1B,IFI27
BMPR1B,KLHL25
BMPR1B,MDFI
BMPR1B,MLX
BMPR1B,MTA1
BMPR1B,NEUROD1
BMPR1B,NFATC4
BMPR1B,OTUD7B
BMPR1B,PHB2
BMPR1B,RIPK3
BMPR1B,SMAD3
BMPR2,ANKS1A
BMPR2,CSRP3
BMPR2,GNA12
BMPR2,MTA1
BMPR2,NLK
BMPR2,RAGE
BMPR2,UHMK1
BMX,ANXA2
BMX,ATXN3
BMX,AXL
BMX,BCL3
BMX,C13orf15
BMX,C21orf66
BMX,CBL
BMX,CRK
BMX,CTTN
BMX,DDEF2
BMX,DDEFL1
BMX,EIF4B
BMX,GPD1L
BMX,HCLS1
BMX,HDAC3
BMX,HLCS
BMX,HNRPK
BMX,MAGEA12
BMX,MBNL3
BMX,MTA1
BMX,NPM1
BMX,PPP1R13L
BMX,PRKCB1
BMX,RCHY1
BMX,SND1
BMX,SRXN1
BMX,STARD3
BMX,SUMO4
BMX,TRAT1
BMX,TRIP10
BMX,TRIP6
BMX,TRSPAP1
BMX,UBE2A
BMX,VHL
BMX,YWHAH
BMX,ZCCHC10
BTK,ABI2
BTK,ATF6
BTK,BMX
BTK,CAMKK1
BTK,CCM2
BTK,CDK9
BTK,CHGB
BTK,COBRA1
BTK,DDEFL1
BTK,EIF4A3
BTK,FGR
BTK,FUSIP1
BTK,HCLS1
BTK,HES1
BTK,HNRPK
BTK,HTATIP
BTK,MAPK1
BTK,MAPK12
BTK,MAPK8
BTK,MBNL3
BTK,MDM2
BTK,NCAPG
BTK,NFATC3
BTK,NFKBIA
BTK,NRIP2
BTK,OTUD7B
BTK,PDCD2
BTK,PER3
BTK,PPP1R13L
BTK,PPP2R1A
BTK,PRKACA
BTK,PRKACB
BTK,RAD23B
BTK,RAD51
BTK,RPS6KA2
BTK,SLC4A1AP
BTK,SMAD3
BTK,SMPX
BTK,STAT5B
BTK,TGFB1I1
BTK,WWP1
BTK,WWTR1
BTK,ZNF397
BTK,ZNF655
BTK,ZW10
BTK,ZYX
BUB1,AIRE
BUB1,APITD1
BUB1,BCL3
BUB1,C11orf9
BUB1,C21orf66
BUB1,CSDC2
BUB1,CSRP3
BUB1,HCLS1
BUB1,IRF3
BUB1,LAS1L
BUB1,LIG1
BUB1,MDM2
BUB1,MDM4
BUB1,MLX
BUB1,NCL
BUB1,NOC2L
BUB1,NUP35
BUB1,PPIE
BUB1,PPP1R13L
BUB1,PPP1R8
BUB1,PPP2R5D
BUB1,RNUXA
BUB1,SMARCA4
BUB1,SMPX
BUB1,STIP1
BUB1,TERF2IP
BUB1,TOX
BUB1,UBE2A
BUB1,XRCC1
BUB1,ZFP36
BUB1,ZNF765
BUB1,ZYX
CAMK1D,DAZAP1
CAMK1D,DDEFL1
CAMK1D,NEUROD1
CAMK1D,PHB2
CAMK1D,SMAD3
CAMK2A,ATF6
CAMK2A,CSRP3
CAMK2A,LZTS1
CAMK2A,NEUROD1
CAMK2A,PINX1
CAMK2A,PRKAR1A
CAMK2A,PRKCD
CAMK2A,STUB1
CAMK2B,MAPK7
CAMK2B,PRKACA
CAMK2B,RIPK3
CAMK2D,BMX
CAMK2D,CTTN
CAMK2D,LIMA1
CAMK2D,MAPK1
CAMK2D,NR0B2
CAMK2D,PRKACA
CAMK2D,PRKCD
CAMK2D,RIPK3
CAMK2G,CAMKK1
CAMK2G,ETS1
CAMK2G,PRKACA
CAMK2G,UHMK1
CAMK4,CSRP3
CAMK4,NEUROD1
CAMK4,NFATC4
CAMK4,PPP2R5D
CAMK4,RNPS1
CAMK4,SOX10
CAMKK1,BCL3
CAMKK1,CARHSP1
CAMKK1,CEP250
CAMKK1,CLK1
CAMKK1,CSDC2
CAMKK1,CSRP3
CAMKK1,DDEF2
CAMKK1,DDX25
CAMKK1,FHL2
CAMKK1,HDAC7A
CAMKK1,HLCS
CAMKK1,IRF3
CAMKK1,MBNL3
CAMKK1,MDM4
CAMKK1,NEUROD1
CAMKK1,PCBD1
CAMKK1,PPP1R13L
CAMKK1,PPP1R8
CAMKK1,PPP5C
CAMKK1,PSMA6
CAMKK1,PSMC3
CAMKK1,PSPC1
CAMKK1,RUVBL2
CAMKK1,SERBP1
CAMKK1,SMPX
CAMKK1,SRXN1
CAMKK1,ZYX
CAMKK2,CAMKK1
CAMKK2,NEUROD1
CAMKK2,PCTK1
CAMKK2,PIK3C3
CAMKK2,PRKACA
CAMKK2,PRKAR1A
CAMKK2,RAP1A
CAMKK2,TRIP10
CAMKK2,TUFM
CDK1,GRK5
CDK1,SKAP1
CDK1,ZYX
CDK15,CBL
CDK16,ACVR2B
CDK16,CRK
CDK16,PTK2B
CDK18,GRK5
CDK18,SMAD3
CDK18,TRIP10
CDK18,ZYX
CDK3,CHEK1
CDK3,CTTN
CDK3,MDM4
CDK3,PPP2CA
CDK4,ANXA11
CDK4,APITD1
CDK4,ARIH2
CDK4,BCL3
CDK4,C14orf106
CDK4,C19orf40
CDK4,CAMKK1
CDK4,CBL
CDK4,CDK2AP1
CDK4,CSDC2
CDK4,CSDE1
CDK4,CSRP3
CDK4,CTBP1
CDK4,CTTN
CDK4,DDX19B
CDK4,DDX25
CDK4,DDX4
CDK4,EIF4A3
CDK4,EIF4B
CDK4,EIF4ENIF1
CDK4,EP400
CDK4,ETF1
CDK4,ETS1
CDK4,EXOSC5
CDK4,FOXF1
CDK4,FOXN2
CDK4,GAPDH
CDK4,GPBP1
CDK4,HLCS
CDK4,HNRPK
CDK4,HSFX1
CDK4,ID4
CDK4,IRF3
CDK4,JARID1D
CDK4,JMJD2C
CDK4,KHDRBS1
CDK4,LIG1
CDK4,LOC51035
CDK4,MBNL3
CDK4,MCM7
CDK4,MDM4
CDK4,MTA1
CDK4,NCL
CDK4,NEUROD1
CDK4,NFATC3
CDK4,NFATC4
CDK4,NOL7
CDK4,NUP133
CDK4,NUP35
CDK4,ORC1L
CDK4,ORC4L
CDK4,OTUD7B
CDK4,PDCD2
CDK4,PDCD5
CDK4,PHB2
CDK4,PKM2
CDK4,PKNOX1
CDK4,POLD4
CDK4,POLR1C
CDK4,PPP1R13L
CDK4,PPP2R5A
CDK4,PRDX1
CDK4,PRKAR1A
CDK4,PSMC3
CDK4,QKI
CDK4,RBBP9
CDK4,RPA2
CDK4,RPA4
CDK4,RUVBL1
CDK4,RUVBL2
CDK4,SF3B1
CDK4,SMAD4
CDK4,SMARCC2
CDK4,SNUPN
CDK4,SPAG7
CDK4,SRA1
CDK4,STON1
CDK4,UBB
CDK4,VHL
CDK4,XPO1
CDK4,XRCC1
CDK4,ZBED1
CDK4,ZBTB44
CDK4,ZIC4
CDK4,ZMYM3
CDK4,ZNF184
CDK4,ZNF221
CDK4,ZNF606
CDK5,ABI2
CDK5,APBB1
CDK5,BCL3
CDK5,CAMKK1
CDK5,CBL
CDK5,CDK2AP1
CDK5,CRY1
CDK5,CSRP1
CDK5,CSRP3
CDK5,CTTN
CDK5,DAXX
CDK5,DDEFL1
CDK5,EIF4A3
CDK5,ETS1
CDK5,EXOSC3
CDK5,FGR
CDK5,FUSIP1
CDK5,HCLS1
CDK5,HES1
CDK5,IRF3
CDK5,KLHL25
CDK5,LIG1
CDK5,MAP4K5
CDK5,MAPK12
CDK5,MAPK7
CDK5,MBNL3
CDK5,MDFI
CDK5,MDM2
CDK5,MDM4
CDK5,MLX
CDK5,MTA1
CDK5,NFATC4
CDK5,OTUD7B
CDK5,PHB2
CDK5,PPP1R13L
CDK5,PPP2R1B
CDK5,PRDM1
CDK5,PSMC3
CDK5,RAD51
CDK5,RAN
CDK5,RBM9
CDK5,RPA1
CDK5,RPS6KA2
CDK5,SMAD3
CDK5,SMAD4
CDK5,SMYD2
CDK5,SNCA
CDK5,SNUPN
CDK5,SOX10
CDK5,SRF
CDK5,TRIM24
CDK5,TRIP10
CDK5,TSC22D4
CDK5,UBE2A
CDK5,VHL
CDK5,XRCC1
CDK5,XRCC4
CDK5,ZHX1
CDK5,ZNF397
CDK5,ZYX
CDK6,CAMKK1
CDK6,CNOT6
CDK6,COPS6
CDK6,CSRP3
CDK6,GRK5
CDK6,HLCS
CDK6,KLHL25
CDK6,LIG1
CDK6,MAGEA6
CDK6,MBNL3
CDK6,MDFI
CDK6,MDM4
CDK6,NFATC4
CDK6,NUSAP1
CDK6,OTUD7B
CDK6,PKNOX1
CDK6,PPP1R13L
CDK6,PUM1
CDK6,RNF14
CDK6,RPA2
CDK6,RUVBL1
CDK6,SET
CDK6,SMARCC2
CDK6,STUB1
CDK6,TCF3
CDK6,ZHX1
CDK6,ZNF410
CDK6,ZYX
CDK7,CAMKK1
CDK7,CBL
CDK7,CNOT6
CDK7,CRY1
CDK7,CSRP3
CDK7,CTTN
CDK7,EIF4B
CDK7,FGR
CDK7,HDAC8
CDK7,HES1
CDK7,HIRIP3
CDK7,HSFY1
CDK7,HSPA2
CDK7,MBNL3
CDK7,MDFI
CDK7,MDM4
CDK7,MLX
CDK7,MXD1
CDK7,NCBP2
CDK7,NEUROD1
CDK7,NFATC4
CDK7,NOC2L
CDK7,NOL7
CDK7,NUP133
CDK7,OBFC2A
CDK7,ORC4L
CDK7,OTUD7B
CDK7,PER1
CDK7,PINX1
CDK7,PPP1R13L
CDK7,PPP2R1B
CDK7,PSPC1
CDK7,RCHY1
CDK7,RNASEH2C
CDK7,RPA2
CDK7,SET
CDK7,SMAD4
CDK7,SMARCC2
CDK7,SOX10
CDK7,VHL
CDK7,XRCC1
CDK7,ZCCHC8
CDK7,ZYX
CDK9,CHEK2
CDK9,CSRP3
CDK9,ETS1
CDK9,HMGN3
CDK9,MDFI
CDK9,NEUROD1
CDK9,NPM1
CDK9,NUP133
CDK9,PRKACA
CDK9,PTBP1
CDK9,SCC-112
CDKL3,BNC1
CDKL3,CTTN
CDKL3,MBNL3
CDKL5,ACTL6B
CDKL5,C11orf9
CDKL5,CDK9
CDKL5,CHEK2
CDKL5,CIAO1
CDKL5,CSTF2T
CDKL5,DDX39
CDKL5,DGCR8
CDKL5,EIF4A3
CDKL5,GPBP1L1
CDKL5,MAPK12
CDKL5,MBNL3
CDKL5,MDFI
CDKL5,MLX
CDKL5,NOC4L
CDKL5,NOL7
CDKL5,PBX2
CDKL5,PLCD4
CDKL5,PRKACA
CDKL5,PRKCD
CDKL5,PTBP1
CDKL5,RAD51
CDKL5,RPA1
CDKL5,RPS6KA2
CDKL5,SRA1
CDKL5,SSBP4
CDKL5,ZBED1
CDKL5,ZNF238
CHEK2,AIRE
CHEK2,C11orf9
CHEK2,EIF2AK2
CHEK2,HCLS1
CHEK2,LIG1
CHEK2,LZTS1
CHEK2,MDM2
CHEK2,MLX
CHEK2,MTA1
CHEK2,NEUROD1
CHEK2,OTUD7B
CHEK2,PPP1R13L
CHEK2,SMPX
CHEK2,SOX10
CHEK2,ZYX
CLK1,ANKS1A
CLK1,BARX1
CLK1,CBL
CLK1,CSRP3
CLK1,ETS1
CLK1,GMEB1
CLK1,HDAC8
CLK1,HSFY1
CLK1,MDM4
CLK1,NEUROD1
CLK1,PMF1
CLK1,PNMA1
CLK1,PPP1R13L
CLK1,PPP2R5D
CLK1,PSMC3
CLK1,RCHY1
CLK1,RNASEH2C
CLK1,RPA2
CLK1,SFRS1
CLK1,SFRS2
CLK1,SFRS6
CLK1,SNRP70
CLK1,SRPK1
CLK1,TOX
CLK1,TRIM28
CLK1,VHL
CLK1,ZMAT2
CLK1,ZNF396
CLK1,ZNF471
CLK1,ZNF765
CLK1,ZSCAN18
CLK2,ARID3A
CLK2,BAD
CLK2,BCL3
CLK2,C14orf106
CLK2,C19orf2
CLK2,CAMKK1
CLK2,CEP250
CLK2,CSDC2
CLK2,DDX39
CLK2,EBF4
CLK2,EGFR
CLK2,EIF2B5
CLK2,EIF4A3
CLK2,FEV
CLK2,FHL2
CLK2,GPBP1L1
CLK2,GTF2IRD2
CLK2,HLCS
CLK2,HSFX1
CLK2,KHDRBS1
CLK2,MATR3
CLK2,MBNL3
CLK2,MDFI
CLK2,MDM2
CLK2,MDM4
CLK2,MTA1
CLK2,NCBP2
CLK2,NFATC4
CLK2,NOL7
CLK2,OTUD7B
CLK2,PHB2
CLK2,POLR1C
CLK2,PPP1R13L
CLK2,PPP1R8
CLK2,PPP5C
CLK2,PRDM10
CLK2,PRKACA
CLK2,PSMC3
CLK2,RBM12
CLK2,RPA1
CLK2,RUVBL2
CLK2,SAFB2
CLK2,SFRS2
CLK2,SMAD4
CLK2,SMNDC1
CLK2,SMPX
CLK2,SUB1
CLK2,SUHW4
CLK2,TBX20
CLK2,TOX
CLK2,TRIM28
CLK2,U2AF1
CLK2,XPA
CLK2,XPO1
CLK2,YWHAH
CLK2,ZEB2
CLK2,ZFP36
CLK2,ZIC4
CLK2,ZMYM3
CLK2,ZNF32
CLK2,ZNF606
CLK2,ZNF784
CLK2,ZYX
CLK3,ANKS1A
CLK3,HLCS
CLK3,PPP1R13L
CLK3,PPP2R5D
CLK3,PRKCD
CLK3,SFRS1
CLK3,XRCC5
CLK4,ZNF277
CLK4,ZYX
CSK,ABI2
CSK,CTTN
CSK,ETS1
CSK,FGR
CSK,GNA12
CSK,MDM4
CSK,MORF4L1
CSK,MTA1
CSK,PRKACA
CSK,RPA2
CSNK1A1,CTTN
CSNK1A1,DDEFL1
CSNK1A1,GNA12
CSNK1A1,MDM2
CSNK1A1,MDM4
CSNK1A1,PLG
CSNK1A1L,DDEFL1
CSNK1D,BMX
CSNK1D,E2F1
CSNK1D,MAPK1
CSNK1D,MAPK8
CSNK1D,PPP1R13L
CSNK1D,TFAM
CSNK1D,UHMK1
CSNK1E,AK2
CSNK1E,BCL3
CSNK1E,C19orf2
CSNK1E,C21orf66
CSNK1E,CSDC2
CSNK1E,CSDE1
CSNK1E,DDEFL1
CSNK1E,DNM2
CSNK1E,EIF2AK2
CSNK1E,EIF4ENIF1
CSNK1E,EIF4H
CSNK1E,FAM110A
CSNK1E,GEMIN7
CSNK1E,HCLS1
CSNK1E,IRF3
CSNK1E,MBNL3
CSNK1E,MDM4
CSNK1E,MTA1
CSNK1E,NEUROD1
CSNK1E,PPP1R13L
CSNK1E,PPP1R8
CSNK1E,PPP2R5C
CSNK1E,PSMA6
CSNK1E,RPA1
CSNK1E,SKAP1
CSNK1E,SMAD4
CSNK1E,SOX10
CSNK1E,TFAM
CSNK1E,TRIP10
CSNK1E,UBE2A
CSNK1E,WWTR1
CSNK1E,XPO1
CSNK1E,ZHX1
CSNK1G1,C21orf66
CSNK1G1,DDEFL1
CSNK1G1,SRXN1
CSNK1G1,ZIM2
CSNK1G1,ZNF396
CSNK1G2,CBL
CSNK1G2,CC2D1A
CSNK1G2,HLCS
CSNK1G2,TRIM26
CSNK1G2,ZYX
CSNK1G3,CBL
CSNK1G3,DAZAP1
CSNK2A1,ANKS1A
CSNK2A1,C19orf2
CSNK2A1,C21orf66
CSNK2A1,CHGB
CSNK2A1,CSRP3
CSNK2A1,DDEFL1
CSNK2A1,EIF2B1
CSNK2A1,EIF2B5
CSNK2A1,EIF4B
CSNK2A1,EPHA3
CSNK2A1,EXOSC7
CSNK2A1,GEMIN7
CSNK2A1,HCLS1
CSNK2A1,HIRIP3
CSNK2A1,HNRPK
CSNK2A1,LIG1
CSNK2A1,MAP4K2
CSNK2A1,MDM4
CSNK2A1,MLX
CSNK2A1,MYF6
CSNK2A1,NUAK1
CSNK2A1,NUP62
CSNK2A1,PGM1
CSNK2A1,PRMT6
CSNK2A1,RBM17
CSNK2A1,RMI1
CSNK2A1,RNUXA
CSNK2A1,SMARCC2
CSNK2A1,TAF5L
CSNK2A1,TRIM24
CSNK2A1,UTP18
CSNK2A1,ZAP70
CSNK2A1,ZCRB1
CSNK2A1,ZHX1
CSNK2A1,ZNF223
